event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS021,R32,01:04:00,,F,3,P273,"0-6,6-3,6-1",D. Prinosil,D. Hrbaty,,,GER,SVK,0-6,6-3,6-1,,,01:04:00,,,261,/en/stats/leaderboard?page=serve,6,8,51,32,63,81,26,32,52,16,31,0,12,254,/en/stats/leaderboard?page=serve,3,7,52,30,58,80,24,30,46,13,28,57,4,7,11,67,42,63,36,21,58,52,63,121,64,37,58,33,21,63,48,58,121,A,0,3,,,,,,D. Prinosil,D. Hrbaty,P273,H377,GER,SVK,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS022,R32,01:19:00,,F,2,D228,"6-4,7-6(8)",F. Dewulf,M. Woodforde,,,BEL,AUS,6-4,7-6(8),,,,01:19:00,,,299,/en/stats/leaderboard?page=serve,2,12,59,38,64,82,31,38,58,15,26,0,11,261,/en/stats/leaderboard?page=serve,8,12,58,46,79,76,35,46,42,14,33,78,7,9,11,72,46,64,38,30,79,53,76,143,62,49,79,28,18,64,47,67,143,A,0,1,8,6,,,,F. Dewulf,M. Woodforde,D228,W035,BEL,AUS,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS023,R32,00:53:00,,F,2,S741,"6-3,6-2",M. Safin,A. Berasategui,,,RUS,ESP,6-3,6-2,,,,00:53:00,,,246,/en/stats/leaderboard?page=serve,7,3,36,18,50,89,16,18,50,16,32,1,8,152,/en/stats/leaderboard?page=serve,10,1,51,25,49,48,12,25,29,7,24,14,1,7,9,64,32,50,61,30,49,63,62,99,39,19,49,36,18,50,37,37,99,A,33,3,,,,,,M. Safin,A. Berasategui,S741,B428,RUS,ESP,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS024,R32,01:33:00,,F,3,S381,"4-6,6-1,6-4",J. Siemerink,J. Alonso,,,NED,ESP,4-6,6-1,6-4,,,01:33:00,,,308,/en/stats/leaderboard?page=serve,4,13,57,40,70,80,32,40,70,21,30,3,13,240,/en/stats/leaderboard?page=serve,7,6,53,48,91,73,35,48,44,19,43,33,2,6,14,76,53,70,41,37,91,56,90,161,59,54,91,24,17,70,44,71,161,A,75,4,,,,,,J. Siemerink,J. Alonso,S381,A272,NED,ESP,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS025,R32,01:11:00,,F,2,V141,"6-1,6-4",D. Vacek,M. Rosset,,,CZE,SUI,6-1,6-4,,,,01:11:00,,,193,/en/stats/leaderboard?page=serve,2,4,48,25,52,84,21,25,59,16,27,0,9,224,/en/stats/leaderboard?page=serve,7,10,53,31,59,77,24,31,29,8,28,63,5,8,8,71,37,52,46,27,59,58,64,111,54,32,59,29,15,52,42,47,111,A,0,,,,,,,D. Vacek,M. Rosset,V141,R214,CZE,SUI,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS026,R32,01:48:00,,F,3,M443,"6-7(2),6-4,6-3",F. Meligeni,G. Raoux,,,BRA,FRA,6-7(2),6-4,6-3,,,01:48:00,2,7,259,/en/stats/leaderboard?page=serve,7,6,54,51,95,84,43,51,66,29,44,0,16,274,/en/stats/leaderboard?page=serve,4,3,48,44,91,77,34,44,64,30,47,71,5,7,15,76,72,95,30,27,91,53,99,186,70,64,91,24,23,95,47,87,186,A,,,,,,,,F. Meligeni,G. Raoux,M443,R186,BRA,FRA,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS027,R32,01:07:00,,F,2,R237,"6-3,6-4",G. Rusedski,M. Norman,,,GBR,SWE,6-3,6-4,,,,01:07:00,,,289,/en/stats/leaderboard?page=serve,4,5,54,27,50,85,23,27,61,14,23,2,9,221,/en/stats/leaderboard?page=serve,4,2,58,36,62,67,24,36,38,10,26,33,2,6,10,74,37,50,45,28,62,58,65,112,55,34,62,26,13,50,42,47,112,A,67,3,,,,,,G. Rusedski,M. Norman,R237,N250,GBR,SWE,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS028,R32,01:47:00,,F,3,A226,"5-7,6-3,7-6(7)",H. Arazi,G. Ivanisevic,,,MAR,CRO,5-7,6-3,7-6(7),,,01:47:00,,,312,/en/stats/leaderboard?page=serve,,14,64,67,104,79,53,67,62,23,37,10,16,279,/en/stats/leaderboard?page=serve,10,22,52,58,112,83,48,58,44,24,54,78,7,9,17,73,76,104,36,40,112,54,116,216,64,72,112,27,28,104,46,100,216,A,91,11,,,7,2,False,H. Arazi,G. Ivanisevic,A226,I034,MAR,CRO,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS029,R32,01:02:00,,F,2,E140,"6-1,6-4",N. Escude,T. Johansson,,,FRA,SWE,6-1,6-4,,,,01:02:00,,,296,/en/stats/leaderboard?page=serve,1,5,52,24,46,79,19,24,73,16,22,1,9,199,/en/stats/leaderboard?page=serve,2,3,35,18,52,72,13,18,41,14,34,20,1,5,8,76,35,46,48,25,52,61,60,98,52,27,52,24,11,46,39,38,98,A,50,2,,,,,,N. Escude,T. Johansson,E140,J129,FRA,SWE,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS030,R32,01:37:00,,F,3,D214,"3-6,6-2,6-3",M. Damm,J. Burillo,,,CZE,ESP,3-6,6-2,6-3,,,01:37:00,,,288,/en/stats/leaderboard?page=serve,3,13,63,46,73,83,38,46,48,13,27,2,13,234,/en/stats/leaderboard?page=serve,5,8,42,40,95,73,29,40,47,26,55,64,7,11,13,70,51,73,42,40,95,54,91,168,58,55,95,30,22,73,46,77,168,A,50,4,,,,,,M. Damm,J. Burillo,D214,B429,CZE,ESP,,
441,1998,Long Island,WS,1998-08-24T00:00:00,1998-08-30T00:00:00,Hard,32,315000,$,MS031,R32,01:47:00,,F,3,R255,"6-2,4-6,6-4",P. Rafter,J. Sanchez,,,AUS,ESP,6-2,4-6,6-4,,,01:47:00,,,285,/en/stats/leaderboard?page=serve,4,7,66,61,93,74,45,61,50,16,32,8,14,261,/en/stats/leaderboard?page=serve,2,4,56,49,88,69,34,49,56,22,39,50,3,6,14,66,61,93,36,32,88,51,93,181,64,56,88,34,32,93,49,88,181,A,89,9,,,,,,P. Rafter,J. Sanchez,R255,S015,AUS,ESP,,
