event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS011,R16,02:02:00,,F,3,BC65,"7-6(7),6-7(4),6-3",M. Bachinger,L. Mayer,,,GER,ARG,7-6(7),6-7(4),6-3,,,02:02:00,A,M. Bachinger,L. Mayer,GER,ARG,,,321,/en/stats/leaderboard?page=serve,3,15,68,73,107,73,53,73,74,25,34,67,2,3,17,294,/en/stats/leaderboard?page=serve,2,7,65,62,95,76,47,62,61,20,33,71,5,7,16,73,78,107,29,28,95,52,106,202,71,67,95,27,29,107,48,96,202,02:02:00,02:02:00,7,3,,,4,7,BC65,MD56
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS012,R16,01:29:00,,F,2,V306,"6-3,6-4",F. Verdasco,J. Nieminen,,,ESP,FIN,6-3,6-4,,,,01:29:00,A,F. Verdasco,J. Nieminen,ESP,FIN,,,266,/en/stats/leaderboard?page=serve,2,4,64,46,72,70,32,46,50,13,26,60,3,5,10,214,/en/stats/leaderboard?page=serve,1,1,54,38,70,61,23,38,44,14,32,69,9,13,9,63,45,72,47,33,70,55,78,142,53,37,70,38,27,72,45,64,142,01:29:00,01:29:00,,,,,,,V306,N289
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS013,R16,01:25:00,,F,2,TA46,"7-6(7),6-4",B. Tomic,K. Anderson,,,AUS,RSA,7-6(7),6-4,,,,01:25:00,A,B. Tomic,K. Anderson,AUS,RSA,,,313,/en/stats/leaderboard?page=serve,0,7,66,47,71,77,36,47,63,15,24,100,3,3,11,330,/en/stats/leaderboard?page=serve,1,15,73,40,55,80,32,40,73,11,15,0,0,1,11,72,51,71,22,12,55,50,63,126,78,43,55,28,20,71,50,63,126,01:25:00,01:25:00,7,4,,,,,TA46,A678
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS014,R16,01:19:00,,F,2,SM25,"7-6(7),6-3",J. Sock,J. Chardy,,,USA,FRA,7-6(7),6-3,,,,01:19:00,A,J. Sock,J. Chardy,USA,FRA,,,305,/en/stats/leaderboard?page=serve,3,14,60,43,72,86,37,43,48,14,29,100,2,2,11,306,/en/stats/leaderboard?page=serve,1,13,68,36,53,83,30,36,53,9,17,0,0,1,10,71,51,72,26,14,53,52,65,125,74,39,53,29,21,72,48,60,125,01:19:00,01:19:00,7,3,,,,,SM25,CA12
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS015,R16,01:54:00,,F,2,D875,"7-5,7-6(7)",G. Dimitrov,T. Gabashvili,,,BUL,RUS,7-5,7-6(7),,,,01:54:00,A,G. Dimitrov,T. Gabashvili,BUL,RUS,,,251,/en/stats/leaderboard?page=serve,4,8,58,52,89,65,34,52,49,18,37,57,4,7,12,242,/en/stats/leaderboard?page=serve,2,3,66,51,77,59,30,51,50,13,26,20,1,5,12,58,52,89,44,34,77,52,86,166,56,43,77,42,37,89,48,80,166,01:54:00,01:54:00,,,,,7,4,D875,G681
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS017,R32,01:20:00,,F,2,BA65,"6-4,7-6(7)",D. Brown,C. Lindell,,,JAM,SWE,6-4,7-6(7),,,,01:20:00,A,D. Brown,C. Lindell,JAM,SWE,,,271,/en/stats/leaderboard?page=serve,6,10,70,58,83,72,42,58,44,11,25,67,4,6,11,248,/en/stats/leaderboard?page=serve,6,8,65,42,65,79,33,42,30,7,23,50,3,6,11,64,53,83,38,25,65,53,78,148,62,40,65,36,30,83,47,70,148,01:20:00,01:20:00,,,,,7,3,BA65,LA94
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS018,R32,01:14:00,,F,2,H996,"7-6(7),6-4",P. Herbert,P. Carreno Busta,,,FRA,ESP,7-6(7),6-4,,,,01:14:00,A,P. Herbert,P. Carreno Busta,FRA,ESP,,,330,/en/stats/leaderboard?page=serve,2,12,61,36,59,81,29,36,78,18,23,0,0,0,11,286,/en/stats/leaderboard?page=serve,3,4,64,42,66,81,34,42,50,12,24,75,3,4,11,80,47,59,30,20,66,54,67,125,70,46,66,20,12,59,46,58,125,01:14:00,01:14:00,7,3,,,,,H996,CD85
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS019,R32,02:26:00,,F,3,CA99,"7-6(7),4-6,6-4",M. Copil,J. Sousa,,,ROU,POR,7-6(7),4-6,6-4,,,02:26:00,A,M. Copil,J. Sousa,ROU,POR,,,311,/en/stats/leaderboard?page=serve,3,18,58,61,105,77,47,61,68,30,44,91,10,11,16,285,/en/stats/leaderboard?page=serve,3,3,61,70,114,74,52,70,57,25,44,88,7,8,16,73,77,105,32,37,114,52,114,219,68,77,114,27,28,105,48,105,219,02:26:00,02:26:00,7,4,,,,,CA99,SH90
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS021,R32,02:03:00,,F,3,ME82,"2-6,6-2,6-4",A. Mannarino,M. Baghdatis,,,FRA,CYP,2-6,6-2,6-4,,,02:03:00,A,A. Mannarino,M. Baghdatis,FRA,CYP,,,275,/en/stats/leaderboard?page=serve,0,6,61,57,94,67,38,57,57,21,37,86,12,14,13,254,/en/stats/leaderboard?page=serve,3,11,53,47,88,68,32,47,49,20,41,73,8,11,13,63,59,94,41,36,88,52,95,182,59,52,88,37,35,94,48,87,182,02:03:00,02:03:00,,,,,,,ME82,B837
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS022,R32,01:36:00,,F,3,BC65,"2-6,7-6(7),6-4",M. Bachinger,I. Sijsling,,,GER,NED,2-6,7-6(7),6-4,,,01:36:00,A,M. Bachinger,I. Sijsling,GER,NED,,,283,/en/stats/leaderboard?page=serve,2,5,75,70,93,76,53,70,43,10,23,71,5,7,15,282,/en/stats/leaderboard?page=serve,3,5,64,64,100,70,45,64,53,19,36,83,5,6,15,68,63,93,36,36,100,51,99,193,64,64,100,32,30,93,49,94,193,01:36:00,01:36:00,,,,,7,3,BC65,SF36
429,2014,Stockholm,250,2014-10-13T00:00:00,2014-10-19T00:00:00,Hard,28,521405,€,MS023,R32,01:16:00,,F,2,MD56,"6-4,6-4",L. Mayer,D. Young,,,ARG,USA,6-4,6-4,,,,01:16:00,A,L. Mayer,D. Young,ARG,USA,,,323,/en/stats/leaderboard?page=serve,2,6,61,30,49,90,27,30,68,13,19,0,0,0,10,253,/en/stats/leaderboard?page=serve,4,2,66,57,86,61,35,57,48,14,29,80,8,10,10,82,40,49,43,37,86,57,77,135,57,49,86,18,9,49,43,58,135,01:16:00,01:16:00,,,,,,,MD56,Y124
