event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,secondservepointswon_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS065,R128,01:38:00,,F,3,S015,"1-6,6-4,6-1",J. Sanchez,W. Black,,,ESP,ZIM,1-6,6-4,6-1,,,01:38:00,294,/en/stats/leaderboard?page=serve,2,2,76,61,80,75,46,61,58,11,19,67,4,6,14,244,/en/stats/leaderboard?page=serve,2,2,60,52,86,56,29,52,59,20,34,33,2,6,13,71,57,80,43,37,86,57,94,166,57,49,86,29,23,80,43,72,166,A,,,,,,,,,,J. Sanchez,W. Black,S015,B499,ESP,ZIM,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS066,R128,01:31:00,,F,3,D228,"1-6,6-3,6-2",F. Dewulf,M. Sell,,,BEL,USA,1-6,6-3,6-2,,,01:31:00,240,/en/stats/leaderboard?page=serve,5,3,49,39,80,64,25,39,54,22,41,70,7,10,12,252,/en/stats/leaderboard?page=serve,,2,69,50,72,60,30,50,55,12,22,33,2,6,12,59,47,80,42,30,72,51,77,152,58,42,72,41,33,80,49,75,152,A,,,,,,,,False,,F. Dewulf,M. Sell,D228,S601,BEL,USA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS069,R128,02:17:00,,F,3,M442,"4-6,7-6(7),7-5",T. Martin,J. Golmard,,,USA,FRA,4-6,7-6(7),7-5,,,02:17:00,294,/en/stats/leaderboard?page=serve,4,14,56,55,98,80,44,55,60,26,43,33,1,3,17,278,/en/stats/leaderboard?page=serve,7,9,66,78,119,71,55,78,51,21,41,75,6,8,17,71,70,98,36,43,119,52,113,217,64,76,119,29,28,98,48,104,217,A,,,,7,4,,,,,T. Martin,J. Golmard,M442,G319,USA,FRA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS070,R128,01:07:00,,F,2,C355,"6-4,6-2",S. Campbell,O. Gross,,,USA,GER,6-4,6-2,,,,01:07:00,297,/en/stats/leaderboard?page=serve,1,5,66,37,56,76,28,37,63,12,19,,0,,9,237,/en/stats/leaderboard?page=serve,3,5,63,37,59,70,26,37,36,8,22,63,5,8,9,71,40,56,42,25,59,57,65,115,58,34,59,29,16,56,43,50,115,A,,,,,,,,,,S. Campbell,O. Gross,C355,G297,USA,GER,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS073,R128,01:09:00,,F,2,V175,"6-4,6-2",C. Vinck,A. Clement,,,GER,FRA,6-4,6-2,,,,01:09:00,282,/en/stats/leaderboard?page=serve,1,0,65,41,63,71,29,41,59,13,22,83,5,6,9,221,/en/stats/leaderboard?page=serve,1,2,71,41,58,59,24,41,35,6,17,0,0,4,9,67,42,63,48,28,58,58,70,121,52,30,58,33,21,63,42,51,121,A,,,,,,,,,,C. Vinck,A. Clement,V175,C487,GER,FRA,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS077,R128,01:18:00,,F,2,B518,"7-5,6-4",G. Blanco,J. Stoltenberg,,,ESP,AUS,7-5,6-4,,,,01:18:00,251,/en/stats/leaderboard?page=serve,,1,64,45,70,62,28,45,52,13,25,40,2,5,11,218,/en/stats/leaderboard?page=serve,,3,54,33,61,64,21,33,43,12,28,44,4,9,11,59,41,70,46,28,61,53,69,131,54,33,61,41,29,70,47,62,131,A,False,,,,,,,False,,G. Blanco,J. Stoltenberg,B518,S331,ESP,AUS,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS078,R128,01:04:00,,F,2,C243,"6-1,6-0",J. Courier,R. Vasek,,,USA,CZE,6-1,6-0,,,,01:04:00,267,/en/stats/leaderboard?page=serve,4,4,51,21,41,90,19,21,55,11,20,,0,,7,140,/en/stats/leaderboard?page=serve,4,1,70,30,43,57,17,30,,,13,55,6,11,6,73,30,41,60,26,43,67,56,84,,0,,27,11,41,,0,,A,,,,,,,,,False,J. Courier,R. Vasek,C243,V151,USA,CZE,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS081,R128,02:11:00,,F,3,S544,"3-6,6-4,6-4",V. Spadea,J. Alonso,,,USA,ESP,3-6,6-4,6-4,,,02:11:00,208,/en/stats/leaderboard?page=serve,3,2,61,54,88,54,29,54,44,15,34,59,10,17,14,185,/en/stats/leaderboard?page=serve,7,5,44,51,116,57,29,51,40,26,65,64,14,22,15,50,44,88,53,61,116,51,105,204,47,55,116,50,44,88,49,99,204,A,,,,,,,,,,V. Spadea,J. Alonso,S544,A272,USA,ESP,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS082,R128,02:08:00,,F,3,E140,"6-4,3-6,6-4",N. Escude,L. Hewitt,,,FRA,AUS,6-4,3-6,6-4,,,02:08:00,239,/en/stats/leaderboard?page=serve,4,10,53,55,104,67,37,55,47,23,49,72,13,18,15,224,/en/stats/leaderboard?page=serve,1,0,49,47,96,51,24,47,61,30,49,64,9,14,14,58,60,104,44,42,96,51,102,200,56,54,96,42,44,104,49,98,200,A,,,,,,,,,,N. Escude,L. Hewitt,E140,H432,FRA,AUS,,
403,1998,ATP Masters 1000 Miami,1000,1998-03-16T00:00:00,1998-03-29T00:00:00,Hard,96,2450000,$,MS085,R128,01:03:00,,F,2,S545,"6-4,6-2",S. Sargsian,D. Norman,,,ARM,BEL,6-4,6-2,,,,01:03:00,291,/en/stats/leaderboard?page=serve,2,3,74,35,47,86,30,35,42,5,12,67,2,3,9,217,/en/stats/leaderboard?page=serve,5,4,60,41,68,59,24,41,44,12,27,67,8,12,9,74,35,47,47,32,68,58,67,115,53,36,68,26,12,47,42,48,115,A,,,,,,,,,,S. Sargsian,D. Norman,S545,N233,ARM,BEL,,
