event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS021,R32,01:36:00,,F,3,W171,"3-6,6-4,6-4",F. Wibier,A. Costa,,,NED,ESP,3-6,6-4,6-4,,,01:36:00,259,/en/stats/leaderboard?page=serve,11,7,65,57,88,79,45,57,39,12,31,57,4,7,15,266,/en/stats/leaderboard?page=serve,3,5,60,50,84,70,35,50,56,19,34,57,4,7,14,65,57,88,36,30,84,51,87,172,64,54,84,35,31,88,49,85,172,A,,,,,,,,,F. Wibier,A. Costa,W171,C378,NED,ESP,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS022,R32,01:18:00,,F,2,E113,"6-4,7-5",T. Enqvist,R. Reneberg,,,SWE,USA,6-4,7-5,,,,01:18:00,267,/en/stats/leaderboard?page=serve,5,8,56,35,62,71,25,35,56,15,27,33,1,3,11,234,/en/stats/leaderboard?page=serve,1,3,61,43,71,58,25,43,50,14,28,20,1,5,11,65,40,62,45,32,71,54,72,133,55,39,71,35,22,62,46,61,133,A,,,,,,,,,T. Enqvist,R. Reneberg,E113,R016,SWE,USA,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS023,R32,01:55:00,,F,3,M605,"6-3,5-7,6-4",C. Moya,B. Becker,,,ESP,GER,6-3,5-7,6-4,,,01:55:00,289,/en/stats/leaderboard?page=serve,,6,52,45,87,73,33,45,71,30,42,33,1,3,16,262,/en/stats/leaderboard?page=serve,9,13,47,41,88,80,33,41,51,24,47,50,3,6,15,72,63,87,35,31,88,54,94,175,65,57,88,28,24,87,46,81,175,A,,,,,,,,False,C. Moya,B. Becker,M605,B028,ESP,GER,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS024,R32,00:54:00,,F,2,H223,"6-3,6-2",P. Haarhuis,G. Ivanisevic,,,NED,CRO,6-3,6-2,,,,00:54:00,209,/en/stats/leaderboard?page=serve,1,5,61,33,54,82,27,33,62,13,21,0,0,,9,215,/en/stats/leaderboard?page=serve,7,3,44,24,55,71,17,24,42,13,31,67,6,9,8,74,40,54,45,25,55,60,65,109,55,30,55,26,14,54,40,44,109,A,,,,,,,,,P. Haarhuis,G. Ivanisevic,H223,I034,NED,CRO,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS025,R32,01:36:00,,F,3,M442,"6-3,3-6,6-3",T. Martin,M. Larsson,,,USA,SWE,6-3,3-6,6-3,,,01:36:00,291,/en/stats/leaderboard?page=serve,,9,64,56,88,79,44,56,47,15,32,80,4,5,14,290,/en/stats/leaderboard?page=serve,2,4,61,41,67,78,32,41,65,17,26,33,1,3,13,67,59,88,27,18,67,50,77,155,73,49,67,33,29,88,50,78,155,A,,,,,,,,False,T. Martin,M. Larsson,M442,L206,USA,SWE,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS026,R32,01:02:00,,F,2,W124,"6-4,6-2",M. Washington,M. Damm,,,USA,CZE,6-4,6-2,,,,01:02:00,210,/en/stats/leaderboard?page=serve,2,4,54,26,48,77,20,26,77,17,22,0,0,,9,244,/en/stats/leaderboard?page=serve,1,12,51,27,53,81,22,27,35,9,26,25,1,4,9,77,37,48,42,22,53,58,59,101,58,31,53,23,11,48,42,42,101,A,,,,,,,,,M. Washington,M. Damm,W124,D214,USA,CZE,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS027,R32,01:54:00,,F,3,K267,"6-4,3-6,6-4",Y. Kafelnikov,C. Pioline,,,RUS,FRA,6-4,3-6,6-4,,,01:54:00,273,/en/stats/leaderboard?page=serve,6,8,56,50,89,78,39,50,51,20,39,33,1,3,15,285,/en/stats/leaderboard?page=serve,1,12,55,43,78,77,33,43,57,20,35,60,3,5,14,66,59,89,32,25,78,50,84,167,68,53,78,34,30,89,50,83,167,A,,,,,,,,,Y. Kafelnikov,C. Pioline,K267,P226,RUS,FRA,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS028,R32,01:26:00,,F,3,B428,"3-6,6-1,7-5",A. Berasategui,R. Krajicek,,,ESP,NED,3-6,6-1,7-5,,,01:26:00,250,/en/stats/leaderboard?page=serve,5,4,63,60,95,70,42,60,40,14,35,67,6,9,14,240,/en/stats/leaderboard?page=serve,6,15,51,46,91,78,36,46,38,17,45,55,6,11,14,59,56,95,42,38,91,51,94,186,58,53,91,41,39,95,49,92,186,A,,,,,,,,,A. Berasategui,R. Krajicek,B428,K214,ESP,NED,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS029,R32,01:00:00,,F,2,K148,"6-3,6-4",P. Korda,M. Rios,,,CZE,CHI,6-3,6-4,,,,01:00:00,267,/en/stats/leaderboard?page=serve,5,11,64,39,61,82,32,39,55,12,22,,0,,10,252,/en/stats/leaderboard?page=serve,1,2,55,28,51,71,20,28,48,11,23,33,1,3,9,72,44,61,39,20,51,57,64,112,61,31,51,28,17,61,43,48,112,A,,,,,,,,,P. Korda,M. Rios,K148,R286,CZE,CHI,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS030,R32,01:38:00,,F,2,B053,"6-4,7-5",A. Boetsch,J. Courier,,,FRA,USA,6-4,7-5,,,,01:38:00,297,/en/stats/leaderboard?page=serve,,9,58,38,65,82,31,38,67,18,27,,0,,11,271,/en/stats/leaderboard?page=serve,5,7,73,47,64,74,35,47,41,7,17,33,1,3,11,75,49,65,34,22,64,55,71,129,66,42,64,25,16,65,45,58,129,A,,,,,,,,False,A. Boetsch,J. Courier,B053,C243,FRA,USA,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS031,R32,02:30:00,,F,3,C274,"7-5,3-6,7-6(9)",M. Chang,M. Philippoussis,,,USA,AUS,7-5,3-6,7-6(9),,,02:30:00,268,/en/stats/leaderboard?page=serve,3,15,54,67,124,69,46,67,51,29,57,70,7,10,17,293,/en/stats/leaderboard?page=serve,5,26,62,63,101,76,48,63,47,18,38,78,7,9,16,60,75,124,35,35,101,49,110,225,65,66,101,40,49,124,51,115,225,A,,,,,,9,7,,M. Chang,M. Philippoussis,C274,P338,USA,AUS,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS033,R64,01:03:00,,F,2,R214,"6-2,6-4",M. Rosset,A. Corretja,,,SUI,ESP,6-2,6-4,,,,01:03:00,304,/en/stats/leaderboard?page=serve,2,9,65,32,49,91,29,32,53,9,17,,0,,9,247,/en/stats/leaderboard?page=serve,,1,56,25,45,64,16,25,60,12,20,0,0,3,9,78,38,49,38,17,45,59,55,94,62,28,45,22,11,49,41,39,94,A,,,,,False,,,,M. Rosset,A. Corretja,R214,C344,SUI,ESP,,
352,1996,ATP Masters 1000 Paris,1000,1996-10-28T00:00:00,1996-11-03T00:00:00,Carpet,48,2300000,$,MS034,R64,01:45:00,,F,3,B397,"7-6(7),4-6,6-1",B. Black,J. Stoltenberg,,,ZIM,AUS,7-6(7),4-6,6-1,,,01:45:00,276,/en/stats/leaderboard?page=serve,1,5,57,49,86,76,37,49,59,22,37,40,2,5,15,260,/en/stats/leaderboard?page=serve,3,14,58,51,88,61,31,51,59,22,37,64,7,11,14,69,59,86,40,35,88,54,94,174,60,53,88,31,27,86,46,80,174,A,,,7,3,,,,,B. Black,J. Stoltenberg,B397,S331,ZIM,AUS,,
