event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS012,R16,00:55:00,,F,2,G252,"6-1,6-3",M. Goellner,F. Clavet,,,GER,ESP,6-1,6-3,,,,00:55:00,,,,,215,/en/stats/leaderboard?page=serve,,5,57,28,49,86,24,28,67,14,21,0,0,,9,239,/en/stats/leaderboard?page=serve,2,0,66,27,41,70,19,27,43,6,14,25,1,4,8,78,38,49,39,16,41,60,54,90,61,25,41,22,11,49,40,36,90,A,False,,,,M. Goellner,F. Clavet,G252,C252,GER,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS013,R16,02:06:00,,F,3,V195,"6-7(5),6-2,7-5",F. Vicente,A. Berasategui,,,ESP,ESP,6-7(5),6-2,7-5,,,02:06:00,5,7,,,259,/en/stats/leaderboard?page=serve,2,2,71,72,102,63,45,72,57,17,30,55,6,11,16,218,/en/stats/leaderboard?page=serve,3,1,71,82,115,57,47,82,42,14,33,53,9,17,16,61,62,102,47,54,115,53,116,217,53,61,115,39,40,102,47,101,217,A,,,,,F. Vicente,A. Berasategui,V195,B428,ESP,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS014,R16,01:10:00,,F,2,R219,"6-4,6-1",C. Ruud,J. Sanchez,,,NOR,ESP,6-4,6-1,,,,01:10:00,,,,,271,/en/stats/leaderboard?page=serve,1,0,84,51,61,61,31,51,50,5,10,50,2,4,9,179,/en/stats/leaderboard?page=serve,4,1,48,22,46,68,15,22,29,7,24,29,2,7,8,59,36,61,52,24,46,56,60,107,48,22,46,41,25,61,44,47,107,A,,,,,C. Ruud,J. Sanchez,R219,S015,NOR,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS015,R16,01:08:00,,F,2,M535,"7-5,6-3",F. Mantilla,J. Burillo,,,ESP,ESP,7-5,6-3,,,,01:08:00,,,,,295,/en/stats/leaderboard?page=serve,1,2,62,36,58,78,28,36,64,14,22,0,0,1,11,242,/en/stats/leaderboard?page=serve,1,4,51,31,61,71,22,31,47,14,30,50,3,6,10,72,42,58,41,25,61,56,67,119,59,36,61,28,16,58,44,52,119,A,,,,,F. Mantilla,J. Burillo,M535,B429,ESP,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS016,R32,01:20:00,,F,2,K190,"6-4,7-5",B. Karbacher,A. Costa,,,GER,ESP,6-4,7-5,,,,01:20:00,,,,,265,/en/stats/leaderboard?page=serve,2,4,63,42,67,67,28,42,52,13,25,71,5,7,11,235,/en/stats/leaderboard?page=serve,3,1,64,48,75,58,28,48,52,14,27,43,3,7,11,61,41,67,44,33,75,52,74,142,56,42,75,39,26,67,48,68,142,A,,,,,B. Karbacher,A. Costa,K190,C378,GER,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS017,R32,00:52:00,,F,2,B518,"6-2,6-1",G. Blanco,G. Perez-Roldan,,,ESP,ARG,6-2,6-1,,,,00:52:00,,,,,328,/en/stats/leaderboard?page=serve,1,2,83,34,41,71,24,34,86,6,7,0,0,1,8,183,/en/stats/leaderboard?page=serve,2,1,70,39,56,51,20,39,35,6,17,64,9,14,7,73,30,41,54,30,56,62,60,97,46,26,56,27,11,41,38,37,97,A,,,,,G. Blanco,G. Perez-Roldan,B518,P190,ESP,ARG,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS018,R32,00:58:00,,F,2,C179,"6-3,6-1",C. Costa,M. Martelli,,,ESP,ITA,6-3,6-1,,,,00:58:00,,,,,235,/en/stats/leaderboard?page=serve,4,1,46,26,56,85,22,26,57,17,30,,0,,8,193,/en/stats/leaderboard?page=serve,5,0,44,18,41,61,11,18,43,10,23,33,2,6,8,70,39,56,49,20,41,61,59,97,51,21,41,30,17,56,39,38,97,A,,,,,C. Costa,M. Martelli,C179,M543,ESP,ITA,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS019,R32,01:17:00,,F,2,G028,"6-3,6-2",M. Gorriz,H. Gumy,,,ESP,ARG,6-3,6-2,,,,01:17:00,,,,,256,/en/stats/leaderboard?page=serve,,1,70,32,46,81,26,32,29,4,14,33,1,3,8,170,/en/stats/leaderboard?page=serve,5,0,67,40,60,45,18,40,30,6,20,45,5,11,9,65,30,46,60,36,60,62,66,106,40,24,60,35,16,46,38,40,106,A,False,,,,M. Gorriz,H. Gumy,G028,G247,ESP,ARG,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS020,R32,01:56:00,,F,2,C344,"6-4,7-6(7)",A. Corretja,N. Lapentti,,,ESP,ECU,6-4,7-6(7),,,,01:56:00,,,7,2,234,/en/stats/leaderboard?page=serve,2,2,56,40,71,60,24,40,55,17,31,50,4,8,11,209,/en/stats/leaderboard?page=serve,3,1,58,49,84,53,26,49,46,16,35,0,0,5,11,58,41,71,50,42,84,54,83,155,50,42,84,42,30,71,46,72,155,A,,,,,A. Corretja,N. Lapentti,C344,L290,ESP,ECU,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS021,R32,01:02:00,,F,2,V167,"6-3,6-2",J. Van Herck,E. Sanchez,,,BEL,ESP,6-3,6-2,,,,01:02:00,,,,,279,/en/stats/leaderboard?page=serve,2,1,45,20,44,90,18,20,58,14,24,67,2,3,8,196,/en/stats/leaderboard?page=serve,1,0,65,30,46,50,15,30,38,6,16,17,1,6,9,73,32,44,54,25,46,63,57,90,46,21,46,27,12,44,37,33,90,A,,,,,J. Van Herck,E. Sanchez,V167,S014,BEL,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS022,R32,01:28:00,,F,2,F165,"6-2,7-6(8)",M. Filippini,K. Alami,,,URU,MAR,6-2,7-6(8),,,,01:28:00,,,8,6,270,/en/stats/leaderboard?page=serve,1,1,71,47,66,77,36,47,42,8,19,50,2,4,10,220,/en/stats/leaderboard?page=serve,3,3,47,35,74,69,24,35,44,17,39,43,3,7,10,67,44,66,45,33,74,55,77,140,55,41,74,33,22,66,45,63,140,A,,,,,M. Filippini,K. Alami,F165,A203,URU,MAR,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS023,R32,01:08:00,,F,2,S568,"6-4,6-4",F. Squillari,C. Moya,,,ARG,ESP,6-4,6-4,,,,01:08:00,,,,,279,/en/stats/leaderboard?page=serve,4,4,73,48,66,65,31,48,61,11,18,71,5,7,10,242,/en/stats/leaderboard?page=serve,,0,79,46,58,61,28,46,42,5,12,20,1,5,10,64,42,66,43,25,58,54,67,124,57,33,58,36,24,66,46,57,124,A,,False,,,F. Squillari,C. Moya,S568,M605,ARG,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS024,R32,01:24:00,,F,2,C252,"6-4,7-6(7)",F. Clavet,J. Viloca-Puig,,,ESP,ESP,6-4,7-6(7),,,,01:24:00,,,7,2,218,/en/stats/leaderboard?page=serve,1,3,71,41,58,80,33,41,65,11,17,0,0,,10,265,/en/stats/leaderboard?page=serve,1,1,73,54,74,61,33,54,50,10,20,60,3,5,11,76,44,58,42,31,74,57,75,132,58,43,74,24,14,58,43,57,132,A,,,,,F. Clavet,J. Viloca-Puig,C252,V161,ESP,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS025,R32,00:59:00,,F,2,G252,"6-3,6-2",M. Goellner,T. Carbonell,,,GER,ESP,6-3,6-2,,,,00:59:00,,,,,287,/en/stats/leaderboard?page=serve,1,9,58,30,52,80,24,30,64,14,22,,0,,9,235,/en/stats/leaderboard?page=serve,1,1,61,31,51,52,16,31,60,12,20,57,4,7,8,73,38,52,45,23,51,59,61,103,55,28,51,27,14,52,41,42,103,A,,,,,M. Goellner,T. Carbonell,G252,C216,GER,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS026,R32,00:53:00,,F,2,V195,"6-0,6-4",F. Vicente,R. Carretero,,,ESP,ESP,6-0,6-4,,,,00:53:00,,,,,293,/en/stats/leaderboard?page=serve,1,0,79,34,43,62,21,34,78,7,9,0,0,2,8,162,/en/stats/leaderboard?page=serve,4,0,77,34,44,44,15,34,20,2,10,33,3,9,8,65,28,43,61,27,44,63,55,87,39,17,44,35,15,43,37,32,87,A,,,,,F. Vicente,R. Carretero,V195,C383,ESP,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS027,R32,01:22:00,,F,2,B428,"6-4,6-4",A. Berasategui,C. Steeb,,,ESP,GER,6-4,6-4,,,,01:22:00,,,,,288,/en/stats/leaderboard?page=serve,2,4,69,45,65,67,30,45,60,12,20,80,4,5,10,227,/en/stats/leaderboard?page=serve,4,3,48,42,88,62,26,42,48,22,46,70,7,10,10,65,42,65,45,40,88,54,82,153,55,48,88,35,23,65,46,71,153,A,,,,,A. Berasategui,C. Steeb,B428,S080,ESP,GER,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS028,R32,01:41:00,,F,3,S015,"2-6,6-1,6-2",J. Sanchez,G. Schaller,,,ESP,AUT,2-6,6-1,6-2,,,01:41:00,,,,,254,/en/stats/leaderboard?page=serve,6,8,57,37,65,70,26,37,50,14,28,0,0,3,12,233,/en/stats/leaderboard?page=serve,2,0,81,72,89,53,38,72,47,8,17,64,9,14,11,62,40,65,48,43,89,54,83,154,52,46,89,38,25,65,46,71,154,A,,,,,J. Sanchez,G. Schaller,S015,S315,ESP,AUT,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS029,R32,01:13:00,,F,2,R219,"6-3,6-2",C. Ruud,E. Benfele Alvarez,,,NOR,ESP,6-3,6-2,,,,01:13:00,,,,,215,/en/stats/leaderboard?page=serve,,1,84,41,49,80,33,41,50,4,8,0,0,,9,223,/en/stats/leaderboard?page=serve,2,3,58,32,55,72,23,32,30,7,23,40,2,5,8,76,37,49,45,25,55,60,62,104,55,30,55,24,12,49,40,42,104,A,False,,,,C. Ruud,E. Benfele Alvarez,R219,A190,NOR,ESP,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS030,R32,01:02:00,,F,2,B429,"6-3,6-3",J. Burillo,H. Arazi,,,ESP,MAR,6-3,6-3,,,,01:02:00,,,,,279,/en/stats/leaderboard?page=serve,1,6,43,23,53,83,19,23,60,18,30,0,0,1,9,222,/en/stats/leaderboard?page=serve,1,4,57,29,51,48,14,29,59,13,22,0,0,4,9,70,37,53,47,24,51,59,61,104,53,27,51,30,16,53,41,43,104,A,,,,,J. Burillo,H. Arazi,B429,A226,ESP,MAR,,
7306,1996,Marbella,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Clay,32,303000,$,MS031,R32,01:34:00,,F,2,M535,"6-3,7-5",F. Mantilla,A. Portas,,,ESP,ESP,6-3,7-5,,,,01:34:00,,,,,266,/en/stats/leaderboard?page=serve,1,4,66,44,67,73,32,44,43,10,23,60,3,5,11,236,/en/stats/leaderboard?page=serve,2,3,65,35,54,57,20,35,53,10,19,0,0,4,10,63,42,67,44,24,54,55,66,121,56,30,54,37,25,67,45,55,121,A,,,,,F. Mantilla,A. Portas,M535,P305,ESP,ESP,,
