event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS011,R16,00:56:00,,F,2,A203,"6-4,6-2",K. Alami,S. Stolle,,,MAR,AUS,6-4,6-2,,,,00:56:00,296,/en/stats/leaderboard?page=serve,2,5,54,27,50,81,22,27,70,16,23,,0,,9,239,/en/stats/leaderboard?page=serve,2,2,49,23,47,78,18,23,46,11,24,40,2,5,9,76,38,50,38,18,47,58,56,97,62,29,47,24,12,50,42,41,97,A,,,,,,,K. Alami,S. Stolle,A203,S443,MAR,AUS,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS012,R16,01:49:00,,F,3,S544,"7-5,2-6,6-3",V. Spadea,J. Bjorkman,,,USA,SWE,7-5,2-6,6-3,,,01:49:00,254,/en/stats/leaderboard?page=serve,1,3,61,58,95,67,39,58,51,19,37,50,4,8,15,234,/en/stats/leaderboard?page=serve,5,2,44,39,88,67,26,39,55,27,49,33,2,6,14,61,58,95,40,35,88,51,93,183,60,53,88,39,37,95,49,90,183,A,,,,,,,V. Spadea,J. Bjorkman,S544,B446,USA,SWE,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS013,R16,01:34:00,,F,2,K181,"6-4,7-6(7)",N. Kulti,S. Draper,,,SWE,AUS,6-4,7-6(7),,,,01:34:00,261,/en/stats/leaderboard?page=serve,3,4,53,40,75,80,32,40,46,16,35,60,3,5,11,230,/en/stats/leaderboard?page=serve,3,7,37,28,75,64,18,28,53,25,47,50,3,6,11,64,48,75,43,32,75,53,80,150,57,43,75,36,27,75,47,70,150,A,,,7,4,,,N. Kulti,S. Draper,K181,D270,SWE,AUS,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS014,R16,01:06:00,,F,2,S380,"6-3,6-1",B. Shelton,D. Courcol,,,USA,FRA,6-3,6-1,,,,01:06:00,251,/en/stats/leaderboard?page=serve,3,4,59,32,54,84,27,32,45,10,22,,0,,8,216,/en/stats/leaderboard?page=serve,,3,59,29,49,59,17,29,45,9,20,56,5,9,8,69,37,54,47,23,49,58,60,103,53,26,49,31,17,54,42,43,103,A,,,,,False,,B. Shelton,D. Courcol,S380,C314,USA,FRA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS015,R16,01:06:00,,F,2,R016,"6-4,6-2",R. Reneberg,D. Wheaton,,,USA,USA,6-4,6-2,,,,01:06:00,210,/en/stats/leaderboard?page=serve,2,7,57,28,49,86,24,28,62,13,21,0,0,,9,232,/en/stats/leaderboard?page=serve,3,3,49,27,55,78,21,27,39,11,28,63,5,8,9,76,37,49,42,23,55,58,60,104,58,32,55,24,12,49,42,44,104,A,,,,,,,R. Reneberg,D. Wheaton,R016,W123,USA,USA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS016,R32,01:32:00,,F,2,C274,"6-3,6-4",M. Chang,M. Sell,,,USA,USA,6-3,6-4,,,,01:32:00,205,/en/stats/leaderboard?page=serve,,0,47,37,79,68,25,37,40,17,42,64,9,14,10,160,/en/stats/leaderboard?page=serve,3,2,54,37,69,38,14,37,47,15,32,46,6,13,9,53,42,79,58,40,69,55,82,148,42,29,69,47,37,79,45,66,148,A,,,,,,False,M. Chang,M. Sell,C274,S601,USA,USA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS017,R32,01:17:00,,F,2,T195,"6-3,6-4",M. Tebbutt,J. Apell,,,AUS,SWE,6-3,6-4,,,,01:17:00,274,/en/stats/leaderboard?page=serve,6,7,43,30,70,87,26,30,53,21,40,75,3,4,10,226,/en/stats/leaderboard?page=serve,5,3,63,39,62,64,25,39,35,8,23,70,7,10,9,67,47,70,47,29,62,58,76,132,53,33,62,33,23,70,42,56,132,A,,,,,,,M. Tebbutt,J. Apell,T195,A176,AUS,SWE,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS018,R32,01:21:00,,F,2,M443,"6-2,7-6(7)",F. Meligeni,J. Palmer,,,BRA,USA,6-2,7-6(7),,,,01:21:00,290,/en/stats/leaderboard?page=serve,2,1,57,33,58,76,25,33,68,17,25,0,0,1,10,237,/en/stats/leaderboard?page=serve,8,5,59,40,68,68,27,40,43,12,28,57,4,7,10,72,42,58,43,29,68,56,71,126,57,39,68,28,16,58,44,55,126,A,,,7,5,,,F. Meligeni,J. Palmer,M443,P233,BRA,USA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS019,R32,01:19:00,,F,2,F164,"6-3,6-4",R. Fromberg,M. Wilander,,,AUS,SWE,6-3,6-4,,,,01:19:00,236,/en/stats/leaderboard?page=serve,7,4,65,43,66,65,28,43,39,9,23,50,3,6,10,195,/en/stats/leaderboard?page=serve,2,1,55,33,60,64,21,33,33,9,27,58,7,12,9,56,37,66,50,30,60,53,67,126,50,30,60,44,29,66,47,59,126,A,,,,,,,R. Fromberg,M. Wilander,F164,W023,AUS,SWE,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS020,R32,02:01:00,,F,3,F041,"7-6(7),3-6,6-4",J. Frana,M. Filippini,,,ARG,URU,7-6(7),3-6,6-4,,,02:01:00,265,/en/stats/leaderboard?page=serve,,7,61,67,109,72,48,67,45,19,42,75,9,12,15,267,/en/stats/leaderboard?page=serve,6,0,74,70,95,66,46,70,52,13,25,40,2,5,16,61,67,109,38,36,95,50,103,204,62,59,95,39,42,109,50,101,204,A,7,2,,,,False,J. Frana,M. Filippini,F041,F165,ARG,URU,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS021,R32,01:36:00,,F,3,G285,"0-6,6-4,6-4",K. Goossens,G. Etlis,,,BEL,ARG,0-6,6-4,6-4,,,01:36:00,250,/en/stats/leaderboard?page=serve,7,2,60,46,77,74,34,46,45,14,31,25,1,4,13,272,/en/stats/leaderboard?page=serve,3,5,55,43,78,74,32,43,57,20,35,71,5,7,13,62,48,77,33,26,78,48,74,155,67,52,78,38,29,77,52,81,155,A,,,,,,,K. Goossens,G. Etlis,G285,E138,BEL,ARG,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS022,R32,01:18:00,,F,2,S443,"7-5,6-2",S. Stolle,G. Doyle,,,AUS,AUS,7-5,6-2,,,,01:18:00,277,/en/stats/leaderboard?page=serve,1,4,53,31,59,77,24,31,54,15,28,50,1,2,10,226,/en/stats/leaderboard?page=serve,5,1,57,31,54,65,20,31,48,11,23,0,0,4,10,66,39,59,43,23,54,55,62,113,57,31,54,34,20,59,45,51,113,A,,,,,,,S. Stolle,G. Doyle,S443,D227,AUS,AUS,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS023,R32,01:41:00,,F,2,A203,"7-6(7),6-4",K. Alami,L. Morejon,,,MAR,ECU,7-6(7),6-4,,,,01:41:00,281,/en/stats/leaderboard?page=serve,1,4,46,33,72,91,30,33,51,20,39,80,4,5,11,259,/en/stats/leaderboard?page=serve,,1,66,54,82,65,35,54,46,13,28,67,4,6,11,69,50,72,41,34,82,55,84,154,59,48,82,31,22,72,45,70,154,A,7,2,,,False,,K. Alami,L. Morejon,A203,M506,MAR,ECU,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS024,R32,01:28:00,,F,2,B446,"6-4,7-6(7)",J. Bjorkman,O. Gross,,,SWE,GER,6-4,7-6(7),,,,01:28:00,280,/en/stats/leaderboard?page=serve,4,2,54,39,72,74,29,39,64,21,33,80,4,5,11,258,/en/stats/leaderboard?page=serve,5,1,62,48,77,71,34,48,48,14,29,67,4,6,11,69,50,72,38,29,77,53,79,149,62,48,77,31,22,72,47,70,149,A,,,7,4,,,J. Bjorkman,O. Gross,B446,G297,SWE,GER,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS025,R32,01:07:00,,F,2,S544,"6-1,6-4",V. Spadea,G. Pozzi,,,USA,ITA,6-1,6-4,,,,01:07:00,283,/en/stats/leaderboard?page=serve,,2,67,37,55,76,28,37,50,9,18,67,2,3,9,197,/en/stats/leaderboard?page=serve,3,2,43,24,56,58,14,24,47,15,32,56,5,9,8,67,37,55,48,27,56,58,64,111,52,29,56,33,18,55,42,47,111,A,,,,,,False,V. Spadea,G. Pozzi,S544,P045,USA,ITA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS026,R32,01:59:00,,F,2,D270,"7-6(9),6-4",S. Draper,P. Rafter,,,AUS,AUS,7-6(9),6-4,,,,01:59:00,271,/en/stats/leaderboard?page=serve,2,1,50,41,82,76,31,41,56,23,41,90,9,10,11,252,/en/stats/leaderboard?page=serve,8,7,48,42,88,74,31,42,50,23,46,71,5,7,11,66,54,82,39,34,88,52,88,170,61,54,88,34,28,82,48,82,170,A,9,7,,,,,S. Draper,P. Rafter,D270,R255,AUS,AUS,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS027,R32,02:01:00,,F,3,K181,"7-6(7),3-6,6-1",N. Kulti,M. Joyce,,,SWE,USA,7-6(7),3-6,6-1,,,02:01:00,228,/en/stats/leaderboard?page=serve,3,5,50,50,100,74,37,50,38,19,50,38,3,8,14,210,/en/stats/leaderboard?page=serve,7,10,41,39,96,62,24,39,47,27,57,63,10,16,14,56,56,100,47,45,96,52,101,196,53,51,96,44,44,100,48,95,196,A,7,5,,,,,N. Kulti,M. Joyce,K181,J100,SWE,USA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS028,R32,01:47:00,,F,3,S380,"6-3,2-6,6-3",B. Shelton,C. Woodruff,,,USA,USA,6-3,2-6,6-3,,,01:47:00,244,/en/stats/leaderboard?page=serve,2,7,60,49,82,65,32,49,45,15,33,64,7,11,13,226,/en/stats/leaderboard?page=serve,7,6,60,52,87,63,33,52,43,15,35,55,6,11,13,57,47,82,45,39,87,51,86,169,55,48,87,43,35,82,49,83,169,A,,,,,,,B. Shelton,C. Woodruff,S380,W212,USA,USA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS029,R32,01:14:00,,F,2,C314,"6-4,6-2",D. Courcol,L. Jensen,,,FRA,USA,6-4,6-2,,,,01:14:00,261,/en/stats/leaderboard?page=serve,4,5,51,37,72,78,29,37,43,15,35,89,8,9,9,222,/en/stats/leaderboard?page=serve,2,4,62,34,55,65,22,34,38,8,21,43,3,7,9,61,44,72,45,25,55,54,69,127,55,30,55,39,28,72,46,58,127,A,,,,,,,D. Courcol,L. Jensen,C314,J009,FRA,USA,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS030,R32,02:04:00,,F,3,W123,"7-6(7),3-6,6-3",D. Wheaton,M. Knowles,,,USA,BAH,7-6(7),3-6,6-3,,,02:04:00,303,/en/stats/leaderboard?page=serve,4,18,62,68,110,72,49,68,62,26,42,90,9,10,15,294,/en/stats/leaderboard?page=serve,2,10,44,37,84,92,34,37,57,27,47,67,2,3,15,68,75,110,27,23,84,51,98,194,73,61,84,32,35,110,49,96,194,A,7,2,,,,,D. Wheaton,M. Knowles,W123,K171,USA,BAH,,
409,1996,Atlanta,GP,1996-04-29T00:00:00,1996-05-05T00:00:00,Clay,32,303000,$,MS031,R32,01:58:00,,F,3,R016,"6-2,3-6,6-1",R. Reneberg,J. Connors,,,USA,USA,6-2,3-6,6-1,,,01:58:00,274,/en/stats/leaderboard?page=serve,2,11,57,44,77,77,34,44,48,16,33,80,8,10,12,220,/en/stats/leaderboard?page=serve,2,3,59,55,93,55,30,55,47,18,38,55,6,11,12,65,50,77,48,45,93,56,95,170,52,48,93,35,27,77,44,75,170,A,,,,,,,R. Reneberg,J. Connors,R016,C044,USA,USA,,
