event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS021,R32,01:05:00,,F,2,V195,"6-2,6-2",F. Vicente,V. Ionita,,,ESP,ROU,6-2,6-2,,,,01:05:00,245,/en/stats/leaderboard?page=serve,0,1,53,27,51,70,19,27,46,11,24,60,3,5,8,144,/en/stats/leaderboard?page=serve,4,1,54,22,41,36,8,22,32,6,19,33,3,9,8,59,30,51,66,27,41,62,57,92,34,14,41,41,21,51,38,35,92,A,F. Vicente,V. Ionita,V195,I094,ESP,ROU,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS022,R32,01:35:00,,F,2,V309,"7-5,6-2",K. Vliegen,M. Cilic,,,BEL,CRO,7-5,6-2,,,,01:35:00,281,/en/stats/leaderboard?page=serve,0,2,57,36,63,69,25,36,63,17,27,50,1,2,10,212,/en/stats/leaderboard?page=serve,2,2,51,32,63,56,18,32,45,14,31,20,1,5,10,67,42,63,49,31,63,58,73,126,51,32,63,33,21,63,42,53,126,A,K. Vliegen,M. Cilic,V309,C977,BEL,CRO,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS023,R32,00:46:00,,F,1,M605,6-2,C. Moya,B. Ulihrach,,,ESP,CZE,6-2,,,,,00:46:00,276,/en/stats/leaderboard?page=serve,2,0,42,13,31,69,9,13,67,12,18,100,1,1,4,208,/en/stats/leaderboard?page=serve,2,0,59,24,41,54,13,24,47,8,17,71,5,7,4,68,21,31,49,20,41,57,41,72,51,21,41,32,10,31,43,31,72,A,C. Moya,B. Ulihrach,M605,U032,ESP,CZE,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS024,R32,00:53:00,,F,2,V254,"6-2,6-1",F. Volandri,S. Tuksar,,,ITA,CRO,6-2,6-1,,,,00:53:00,280,/en/stats/leaderboard?page=serve,2,2,84,38,45,68,26,38,43,3,7,50,1,2,7,159,/en/stats/leaderboard?page=serve,1,1,56,23,41,39,9,23,39,7,18,14,1,7,8,64,29,45,61,25,41,63,54,86,39,16,41,36,16,45,37,32,86,A,F. Volandri,S. Tuksar,V254,T760,ITA,CRO,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS025,R32,00:54:00,,F,2,G476,"6-2,6-2",G. Garcia-Lopez,O. Hernandez,,,ESP,ESP,6-2,6-2,,,,00:54:00,274,/en/stats/leaderboard?page=serve,3,1,52,23,44,70,16,23,67,14,21,50,1,2,8,199,/en/stats/leaderboard?page=serve,1,1,71,36,51,44,16,36,47,7,15,29,2,7,8,68,30,44,55,28,51,61,58,95,45,23,51,32,14,44,39,37,95,A,G. Garcia-Lopez,O. Hernandez,G476,H472,ESP,ESP,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS026,R32,00:45:00,,F,2,T742,"6-0,6-0",J. Tipsarevic,D. Norman,,,SRB,BEL,6-0,6-0,,,,00:45:00,276,/en/stats/leaderboard?page=serve,2,2,39,16,41,69,11,16,68,17,25,100,5,5,6,86,/en/stats/leaderboard?page=serve,9,3,41,13,32,46,6,13,5,1,19,25,2,8,6,68,28,41,78,25,32,73,53,73,22,7,32,32,13,41,27,20,73,A,J. Tipsarevic,D. Norman,T742,N233,SRB,BEL,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS027,R32,01:29:00,,F,2,R419,"6-4,6-4",T. Robredo,G. Kuerten,,,ESP,BRA,6-4,6-4,,,,01:29:00,239,/en/stats/leaderboard?page=serve,5,3,59,36,61,72,26,36,40,10,25,57,4,7,10,199,/en/stats/leaderboard?page=serve,5,1,49,34,70,68,23,34,36,13,36,17,1,6,10,59,36,61,49,34,70,53,70,131,51,36,70,41,25,61,47,61,131,A,T. Robredo,G. Kuerten,R419,K293,ESP,BRA,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS028,R32,00:40:00,,F,2,F316,"6-0,3-1",J. Ferrero,J. Nieminen,,,ESP,FIN,6-0,3-1,,,,00:40:00,282,/en/stats/leaderboard?page=serve,2,1,70,23,33,83,19,23,30,3,10,0,0,0,5,162,/en/stats/leaderboard?page=serve,0,0,74,23,31,30,7,23,38,3,8,43,3,7,5,67,22,33,68,21,31,67,43,64,32,10,31,33,11,33,33,21,64,A,J. Ferrero,J. Nieminen,F316,N289,ESP,FIN,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS029,R32,01:03:00,,F,2,D643,"6-1,6-4",N. Djokovic,A. Calatrava,,,SRB,ESP,6-1,6-4,,,,01:03:00,323,/en/stats/leaderboard?page=serve,0,1,69,36,52,72,26,36,81,13,16,100,4,4,9,235,/en/stats/leaderboard?page=serve,1,1,61,25,41,68,17,25,44,7,16,25,1,4,8,75,39,52,41,17,41,60,56,93,59,24,41,25,13,52,40,37,93,A,N. Djokovic,A. Calatrava,D643,C361,SRB,ESP,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS030,R32,00:59:00,,F,2,M535,"6-2,6-1",F. Mantilla,A. Mackin,,,ESP,GBR,6-2,6-1,,,,00:59:00,250,/en/stats/leaderboard?page=serve,0,2,53,24,45,67,16,24,57,12,21,50,2,4,7,127,/en/stats/leaderboard?page=serve,4,3,46,22,48,55,12,22,15,4,26,22,2,9,8,62,28,45,67,32,48,65,60,93,33,16,48,38,17,45,35,33,93,A,F. Mantilla,A. Mackin,M535,M820,ESP,GBR,,
439,2005,Umag,WS,2005-07-25T00:00:00,2005-07-31T00:00:00,Clay,32,375000,$,MS031,R32,02:39:00,,F,3,C524,"5-7,6-3,6-4",G. Coria,Z. Krajan,,,ARG,CRO,5-7,6-3,6-4,,,02:39:00,216,/en/stats/leaderboard?page=serve,10,8,50,46,92,76,35,46,30,14,46,33,3,9,16,211,/en/stats/leaderboard?page=serve,2,1,56,62,110,61,38,62,42,20,48,61,11,18,15,53,49,92,47,52,110,50,101,202,53,58,110,47,43,92,50,101,202,A,G. Coria,Z. Krajan,C524,K313,ARG,CRO,,
