event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS011,R16,01:20:00,,F,2,R237,"7-6(7),6-4",G. Rusedski,G. Stafford,,,GBR,RSA,7-6(7),6-4,,,,01:20:00,305,/en/stats/leaderboard?page=serve,1,13,66,40,61,93,37,40,62,13,21,0,11,288,/en/stats/leaderboard?page=serve,2,3,69,54,78,74,40,54,54,13,24,89,8,9,11,82,50,61,32,25,78,54,75,139,68,53,78,18,11,61,46,64,139,A,7,1,,,,,,,,,G. Rusedski,G. Stafford,R237,S406,GBR,RSA,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS012,R16,01:43:00,,F,2,S403,"7-6(10),7-5",J. Stark,S. Schalken,,,USA,NED,7-6(10),7-5,,,,01:43:00,300,/en/stats/leaderboard?page=serve,3,19,63,48,76,85,41,48,61,17,28,0,12,289,/en/stats/leaderboard?page=serve,4,5,60,49,81,71,35,49,66,21,32,80,4,5,12,76,58,76,31,25,81,53,83,157,69,56,81,24,18,76,47,74,157,A,10,8,,,,,,,,,J. Stark,S. Schalken,S403,S572,USA,NED,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS013,R16,01:10:00,,F,2,S367,"6-2,6-3",M. Sinner,M. Woodforde,,,GER,AUS,6-2,6-3,,,,01:10:00,250,/en/stats/leaderboard?page=serve,2,5,76,51,67,71,36,51,56,9,16,0,9,222,/en/stats/leaderboard?page=serve,5,5,56,29,52,69,20,29,35,8,23,50,3,6,8,67,45,67,46,24,52,58,69,119,54,28,52,33,22,67,42,50,119,A,,,,,,,,,,,M. Sinner,M. Woodforde,S367,W035,GER,AUS,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS014,R16,01:16:00,,F,2,J129,"6-0,7-6(9)",T. Johansson,B. Black,,,SWE,ZIM,6-0,7-6(9),,,,01:16:00,287,/en/stats/leaderboard?page=serve,5,7,42,24,57,100,24,24,55,18,33,0,9,223,/en/stats/leaderboard?page=serve,6,3,71,49,69,69,34,49,20,4,20,57,4,7,9,74,42,57,45,31,69,58,73,126,55,38,69,,0,,,0,,A,,,,,,9,7,,,,T. Johansson,B. Black,J129,B397,SWE,ZIM,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS015,R16,01:06:00,,F,2,K214,"6-4,6-2",R. Krajicek,P. Rafter,,,NED,AUS,6-4,6-2,,,,01:06:00,285,/en/stats/leaderboard?page=serve,2,12,67,35,52,89,31,35,53,9,17,0,9,233,/en/stats/leaderboard?page=serve,4,5,62,40,65,68,27,40,36,9,25,77,10,13,9,77,40,52,45,29,65,59,69,117,55,36,65,23,12,52,41,48,117,A,,,,,,,,,,,R. Krajicek,P. Rafter,K214,R255,NED,AUS,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS016,R32,00:50:00,,F,2,C274,"6-0,6-3",M. Chang,D. van Scheppingen,,,USA,NED,6-0,6-3,,,,00:50:00,276,/en/stats/leaderboard?page=serve,,9,63,31,49,81,25,31,61,11,18,0,8,191,/en/stats/leaderboard?page=serve,1,2,60,21,35,52,11,21,36,5,14,0,0,4,7,73,36,49,54,19,35,65,55,84,46,16,35,27,13,49,35,29,84,A,,,,,,,,,,False,M. Chang,D. van Scheppingen,C274,S559,USA,NED,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS017,R32,01:08:00,,F,2,P218,"6-1,7-6(7)",N. Pereira,G. Kuerten,,,VEN,BRA,6-1,7-6(7),,,,01:08:00,289,/en/stats/leaderboard?page=serve,1,10,65,42,65,71,30,42,74,17,23,0,10,243,/en/stats/leaderboard?page=serve,5,4,41,23,56,65,15,23,61,20,33,33,1,3,9,72,47,65,38,21,56,56,68,121,63,35,56,28,18,65,44,53,121,A,,,,,,7,2,,,,N. Pereira,G. Kuerten,P218,K293,VEN,BRA,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS018,R32,01:20:00,,F,2,R186,"6-3,6-3",G. Raoux,N. Godwin,,,FRA,RSA,6-3,6-3,,,,01:20:00,216,/en/stats/leaderboard?page=serve,,9,55,27,49,93,25,27,59,13,22,0,9,226,/en/stats/leaderboard?page=serve,1,1,45,25,55,68,17,25,47,14,30,25,1,4,9,78,38,49,44,24,55,60,62,104,56,31,55,22,11,49,40,42,104,A,,,0,,,,,,,False,G. Raoux,N. Godwin,R186,G288,FRA,RSA,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS019,R32,01:39:00,,F,3,F041,"6-3,4-6,7-5",J. Frana,H. Dreekmann,,,ARG,GER,6-3,4-6,7-5,,,01:39:00,293,/en/stats/leaderboard?page=serve,,19,64,61,95,74,45,61,50,17,34,7,15,259,/en/stats/leaderboard?page=serve,1,0,61,59,96,73,43,59,51,19,37,60,6,10,16,65,62,95,35,34,96,50,96,191,65,62,96,35,33,95,50,95,191,A,,,78,9,,,,,,False,J. Frana,H. Dreekmann,F041,D249,ARG,GER,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS020,R32,01:01:00,,F,2,F278,"6-3,6-2",P. Fredriksson,P. Haarhuis,,,SWE,NED,6-3,6-2,,,,01:01:00,230,/en/stats/leaderboard?page=serve,2,7,58,25,43,84,21,25,83,15,18,0,9,232,/en/stats/leaderboard?page=serve,1,5,54,30,56,70,21,30,42,11,26,67,6,9,8,84,36,43,43,24,56,61,60,99,57,32,56,16,7,43,39,39,99,A,,,0,,,,,,,,P. Fredriksson,P. Haarhuis,F278,H223,SWE,NED,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS022,R32,01:18:00,,F,2,S406,"7-6(8),6-0",G. Stafford,M. Damm,,,RSA,CZE,7-6(8),6-0,,,,01:18:00,300,/en/stats/leaderboard?page=serve,,2,66,39,59,79,31,39,65,13,20,0,9,241,/en/stats/leaderboard?page=serve,,4,57,33,58,82,27,33,32,8,25,57,4,7,9,75,44,59,40,23,58,57,67,117,60,35,58,25,15,59,43,50,117,A,8,6,,,False,,,,,False,G. Stafford,M. Damm,S406,D214,RSA,CZE,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS023,R32,00:49:00,,F,2,R237,"6-4,6-1",G. Rusedski,T. Woodbridge,,,GBR,AUS,6-4,6-1,,,,00:49:00,297,/en/stats/leaderboard?page=serve,3,13,71,30,42,87,26,30,42,5,12,2,8,179,/en/stats/leaderboard?page=serve,5,0,49,22,45,68,15,22,30,7,23,44,4,9,8,74,31,42,51,23,45,62,54,87,49,22,45,26,11,42,38,33,87,A,,,67,3,,,,,,,G. Rusedski,T. Woodbridge,R237,W136,GBR,AUS,,
326,1996,Singapore,GP,1996-09-30T00:00:00,1996-10-06T00:00:00,Carpet,32,389250,$,MS024,R32,01:02:00,,F,2,S572,"6-2,6-2",S. Schalken,M. Wilander,,,NED,SWE,6-2,6-2,,,,01:02:00,265,/en/stats/leaderboard?page=serve,5,3,64,35,55,83,29,35,45,9,20,0,8,205,/en/stats/leaderboard?page=serve,1,1,61,33,54,61,20,33,33,7,21,33,2,6,8,69,38,55,50,27,54,60,65,109,50,27,54,31,17,55,40,44,109,A,,,,,,,,,,,S. Schalken,M. Wilander,S572,W023,NED,SWE,,
