event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,servicegamesplayed_isstatbetter_tot_winner,servicegamesplayed_isstatbetter_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS021,R32,01:32:00,,F,3,B397,"6-4,6-0,6-2",B. Black,S. Campbell,,,ZIM,USA,6-4,6-0,6-2,,,01:32:00,269,/en/stats/leaderboard?page=serve,,6,79,59.0,75,63,37.0,59.0,63,10.0,16.0,55,6,11,12,130,/en/stats/leaderboard?page=serve,4,1,73,60.0,82,38,23.0,60.0,14,3.0,22.0,27,4,15.0,12,63,47,75,68,56,82,66,103,157,32,26,82,37,28,75,34,54,157,A,False,,,,,,,,,,,,B. Black,S. Campbell,B397,C355,ZIM,USA,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS022,R32,02:06:00,,F,3,P226,"6-2,6-1,6-4",C. Pioline,A. Corretja,,,FRA,ESP,6-2,6-1,6-4,,,02:06:00,283,/en/stats/leaderboard?page=serve,2,3,67,71.0,106,66,47.0,71.0,57,20.0,35.0,89,8,9,13,207,/en/stats/leaderboard?page=serve,2,2,60,48.0,80,56,27.0,48.0,41,13.0,32.0,54,7,13.0,12,63,67,106,50,40,80,58,107,186,50,40,80,37,39,106,42,79,186,A,,,,,,,,,,,,,C. Pioline,A. Corretja,P226,C344,FRA,ESP,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS023,R32,01:39:00,,F,3,K148,"6-2,7-6(10),6-2",P. Korda,V. Spadea,,,CZE,USA,6-2,7-6(10),6-2,,,01:39:00,289,/en/stats/leaderboard?page=serve,7,8,61,58.0,95,84,49.0,58.0,51,19.0,37.0,0,0,1,14,241,/en/stats/leaderboard?page=serve,1,5,62,64.0,104,63,40.0,64.0,48,19.0,40.0,50,5,10.0,14,72,68,95,43,45,104,57,113,199,57,59,104,28,27,95,43,86,199,A,,,,,,,10,8,,,,,P. Korda,V. Spadea,K148,S544,CZE,USA,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS024,R32,02:00:00,,F,3,W136,"7-6(7),6-4,6-2",T. Woodbridge,G. Rusedski,,,AUS,GBR,7-6(7),6-4,6-2,,,02:00:00,282,/en/stats/leaderboard?page=serve,4,2,60,54.0,90,80,43.0,54.0,58,21.0,36.0,50,2,4,15,240,/en/stats/leaderboard?page=serve,8,12,53,70.0,131,73,51.0,70.0,44,27.0,61.0,62,8,13.0,15,71,64,90,40,53,131,53,117,221,60,78,131,29,26,90,47,104,221,A,,,,7,5,,,,,,,,T. Woodbridge,G. Rusedski,W136,R237,AUS,GBR,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS025,R32,03:06:00,,F,5,E140,"1-6,6-7(0),6-2,7-5,6-4",N. Escude,R. Reneberg,,,FRA,USA,1-6,6-7(0),6-2,7-5,6-4,03:06:00,293,/en/stats/leaderboard?page=serve,2,11,71,111.0,157,73,81.0,111.0,57,26.0,46.0,56,5,9,24,262,/en/stats/leaderboard?page=serve,6,13,60,118.0,196,70,83.0,118.0,49,38.0,78.0,67,12,18.0,25,68,107,157,38,75,196,52,182,353,62,121,196,32,50,157,48,171,353,A,,,,,,,0,7,,,,,N. Escude,R. Reneberg,E140,R016,FRA,USA,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS026,R32,00:59:00,,F,2,K316,"7-5,4-0",N. Kiefer,J. Golmard,,,GER,FRA,7-5,4-0,,,,00:59:00,275,/en/stats/leaderboard?page=serve,4,5,53,26.0,49,85,22.0,26.0,48,11.0,23.0,0,0,1,9,221,/en/stats/leaderboard?page=serve,2,5,67,39.0,58,59,23.0,39.0,42,8.0,19.0,50,4,8.0,8,67,33,49,47,27,58,56,60,107,53,31,58,33,16,49,44,47,107,A,,,,,,,,,,,,,N. Kiefer,J. Golmard,K316,G319,GER,FRA,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS027,R32,02:05:00,,F,3,R186,"6-3,6-2,7-5",G. Raoux,W. Black,,,FRA,ZIM,6-3,6-2,7-5,,,02:05:00,276,/en/stats/leaderboard?page=serve,3,3,68,70.0,103,67,47.0,70.0,55,18.0,33.0,60,3,5,15,257,/en/stats/leaderboard?page=serve,1,4,76,69.0,91,57,39.0,69.0,64,14.0,22.0,45,5,11.0,14,63,65,103,42,38,91,53,103,194,58,53,91,37,38,103,47,91,194,A,,,,,,,,,,,,,G. Raoux,W. Black,R186,B499,FRA,ZIM,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS028,R32,02:05:00,,F,3,R280,"7-6(7),6-2,6-4",L. Roux,K. Alami,,,FRA,MAR,7-6(7),6-2,6-4,,,02:05:00,305,/en/stats/leaderboard?page=serve,1,6,69,70.0,101,77,54.0,70.0,74,23.0,31.0,,0,,15,261,/en/stats/leaderboard?page=serve,5,8,64,78.0,122,73,57.0,78.0,41,18.0,44.0,63,5,8.0,15,76,77,101,39,47,122,56,124,223,61,75,122,24,24,101,44,99,223,A,,,,7,2,,,,,,,,L. Roux,K. Alami,R280,A203,FRA,MAR,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS029,R32,01:15:00,,F,3,R286,"6-2,6-3,6-2",M. Rios,A. Ilie,,,CHI,AUS,6-2,6-3,6-2,,,01:15:00,274,/en/stats/leaderboard?page=serve,2,7,68,49.0,72,78,38.0,49.0,48,11.0,23.0,40,2,5,12,165,/en/stats/leaderboard?page=serve,2,1,60,49.0,81,45,22.0,49.0,31,10.0,32.0,40,6,15.0,13,68,49,72,60,49,81,64,98,153,40,32,81,32,23,72,36,55,153,A,,,,,,,,,,,,,M. Rios,A. Ilie,R286,I052,CHI,AUS,,
580,1998,Australian Open,GS,1998-01-19T00:00:00,1998-02-01T00:00:00,Hard,128,3140107,$,MS030,R32,01:10:00,,F,3,A092,"6-2,6-2,6-0",A. Agassi,A. Gaudenzi,,,USA,ITA,6-2,6-2,6-0,,,01:10:00,266,/en/stats/leaderboard?page=serve,1,6,67,50.0,75,80,40.0,50.0,60,15.0,25.0,,0,,11,172,/en/stats/leaderboard?page=serve,4,3,61,40.0,66,53,21.0,40.0,23,6.0,26.0,36,4,11.0,11,73,55,75,59,39,66,67,94,141,41,27,66,27,20,75,33,47,141,A,,,,,,,,,,,,,A. Agassi,A. Gaudenzi,A092,G254,USA,ITA,,
