event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS021,R32,01:20:00,,F,2,T168,"7-6(8),6-3",L. Tieleman,R. Schuettler,,,ITA,GER,7-6(8),6-3,,,,01:20:00,252,/en/stats/leaderboard?page=serve,12,4,43,29,67,83,24,29,53,20,38,50,2,4,11,232,/en/stats/leaderboard?page=serve,6,0,57,44,77,59,26,44,52,17,33,40,2,5,10,66,44,67,44,34,77,54,78,144,56,43,77,34,23,67,46,66,144,A,8,6,,,,,,L. Tieleman,R. Schuettler,T168,S636,ITA,GER,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS022,R32,01:40:00,,F,3,W224,"3-6,6-2,6-3",R. Wassen,L. Burgsmuller,,,NED,GER,3-6,6-2,6-3,,,01:40:00,237,/en/stats/leaderboard?page=serve,5,4,38,30,79,63,19,30,61,30,49,57,4,7,13,220,/en/stats/leaderboard?page=serve,6,5,51,44,86,57,25,44,52,22,42,44,4,9,13,62,49,79,45,39,86,53,88,165,55,47,86,38,30,79,47,77,165,A,,,,,,,,R. Wassen,L. Burgsmuller,W224,B484,NED,GER,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS023,R32,01:02:00,,F,2,S741,"6-2,6-2",M. Safin,T. Ganiev,,,RUS,UZB,6-2,6-2,,,,01:02:00,247,/en/stats/leaderboard?page=serve,5,7,56,28,50,89,25,28,50,11,22,,0,,8,205,/en/stats/leaderboard?page=serve,1,1,52,31,60,65,20,31,38,11,29,60,6,10,8,72,36,50,48,29,60,59,65,110,52,31,60,28,14,50,41,45,110,A,,,,,,,,M. Safin,T. Ganiev,S741,G347,RUS,UZB,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS024,R32,01:48:00,,F,2,R214,"7-6(12),7-5",M. Rosset,T. Ketola,,,SUI,FIN,7-6(12),7-5,,,,01:48:00,291,/en/stats/leaderboard?page=serve,10,14,62,53,85,81,43,53,53,17,32,67,2,3,12,260,/en/stats/leaderboard?page=serve,5,8,49,47,95,85,40,47,40,19,48,78,7,9,12,71,60,85,38,36,95,53,96,180,62,59,95,29,25,85,47,84,180,A,12,10,,,,,,M. Rosset,T. Ketola,R214,K297,SUI,FIN,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS025,R32,01:15:00,,F,2,B305,"6-4,7-6(7)",K. Braasch,M. Hantschk,,,GER,GER,6-4,7-6(7),,,,01:15:00,301,/en/stats/leaderboard?page=serve,1,5,58,35,60,89,31,35,60,15,25,50,1,2,11,255,/en/stats/leaderboard?page=serve,5,4,49,38,77,82,31,38,44,17,39,50,2,4,11,77,46,60,38,29,77,55,75,137,62,48,77,23,14,60,45,62,137,A,,,,,7,5,,K. Braasch,M. Hantschk,B305,H366,GER,GER,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS026,R32,02:17:00,,F,3,S572,"6-4,6-7(5),7-6(7)",S. Schalken,O. Burrieza-Lopez,,,NED,ESP,6-4,6-7(5),7-6(7),,,02:17:00,258,/en/stats/leaderboard?page=serve,5,2,65,73,113,70,51,73,50,20,40,43,3,7,17,235,/en/stats/leaderboard?page=serve,8,5,50,61,122,67,41,61,51,31,61,50,5,10,17,63,71,113,41,50,122,51,121,235,59,72,122,37,42,113,49,114,235,A,,,7,5,5,7,,S. Schalken,O. Burrieza-Lopez,S572,B517,NED,ESP,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS027,R32,01:04:00,,F,2,E140,"6-3,6-3",N. Escude,D. Tomashevich,,,FRA,UZB,6-3,6-3,,,,01:04:00,244,/en/stats/leaderboard?page=serve,4,0,59,35,59,74,26,35,38,9,24,60,3,5,9,190,/en/stats/leaderboard?page=serve,2,3,55,30,55,50,15,30,40,10,25,44,4,9,9,59,35,59,55,30,55,57,65,114,45,25,55,41,24,59,43,49,114,A,,,,,,,,N. Escude,D. Tomashevich,E140,T212,FRA,UZB,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS028,R32,01:21:00,,F,2,P235,"7-6(7),6-2",S. Pescosolido,K. Carlsen,,,ITA,DEN,7-6(7),6-2,,,,01:21:00,297,/en/stats/leaderboard?page=serve,5,9,52,30,58,90,27,30,61,17,28,50,1,2,10,236,/en/stats/leaderboard?page=serve,6,4,51,32,63,69,22,32,48,15,31,50,3,6,10,76,44,58,41,26,63,58,70,121,59,37,63,24,14,58,42,51,121,A,7,2,,,,,,S. Pescosolido,K. Carlsen,P235,C328,ITA,DEN,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS029,R32,01:32:00,,F,3,L336,"6-4,3-6,6-3",H. Levy,O. Ogorodov,,,ISR,UZB,6-4,3-6,6-3,,,01:32:00,284,/en/stats/leaderboard?page=serve,2,7,53,41,77,83,34,41,58,21,36,78,7,9,14,255,/en/stats/leaderboard?page=serve,5,10,52,49,94,76,37,49,44,20,45,50,3,6,14,71,55,77,39,37,94,54,92,171,61,57,94,29,22,77,46,79,171,A,,,,,,,,H. Levy,O. Ogorodov,L336,O127,ISR,UZB,,
73,1998,Tashkent,WS,1998-09-14T00:00:00,1998-09-20T00:00:00,Hard,32,380000,$,MS030,R32,01:03:00,,F,2,R243,"6-3,6-3",E. Ran,P. Luxa,,,ISR,CZE,6-3,6-3,,,,01:03:00,260,/en/stats/leaderboard?page=serve,2,0,58,32,55,53,17,32,74,17,23,60,3,5,9,184,/en/stats/leaderboard?page=serve,4,0,54,32,59,53,17,32,37,10,27,50,5,10,9,62,34,55,54,32,59,58,66,114,46,27,59,38,21,55,42,48,114,A,,,,,,,,E. Ran,P. Luxa,R243,L353,ISR,CZE,,
