event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS011,R16,01:48:00,,F,3,S315,"4-6,6-2,6-0",G. Schaller,C. Costa,,,AUT,ESP,4-6,6-2,6-0,,,01:48:00,,,272,/en/stats/leaderboard?page=serve,,6,68,47,69,68,32,47,55,12,22,50,3,6,12,183,/en/stats/leaderboard?page=serve,,2,43,35,81,54,19,35,46,21,46,30,3,10,12,64,44,69,51,41,81,57,85,150,49,40,81,36,25,69,43,65,150,A,False,3,,,G. Schaller,C. Costa,S315,C179,AUT,ESP,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS012,R16,01:04:00,,F,2,G028,"6-3,6-1",M. Gorriz,D. Rikl,,,ESP,CZE,6-3,6-1,,,,01:04:00,,,280,/en/stats/leaderboard?page=serve,1,2,69,33,48,76,25,33,47,7,15,67,2,3,8,186,/en/stats/leaderboard?page=serve,,1,57,28,49,54,15,28,38,8,21,44,4,9,8,67,32,48,53,26,49,60,58,97,47,23,49,33,16,48,40,39,97,A,,1,,,M. Gorriz,D. Rikl,G028,R203,ESP,CZE,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS013,R16,00:55:00,,F,2,M605,"6-3,6-2",C. Moya,G. Blanco,,,ESP,ESP,6-3,6-2,,,,00:55:00,,,263,/en/stats/leaderboard?page=serve,1,1,66,29,44,69,20,29,53,8,15,33,1,3,8,159,/en/stats/leaderboard?page=serve,,1,55,28,51,36,10,28,39,9,23,25,2,8,9,64,28,44,63,32,51,63,60,95,37,19,51,36,16,44,37,35,95,A,,5,,,C. Moya,G. Blanco,M605,B518,ESP,ESP,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS014,R16,01:21:00,,F,2,R219,"6-3,6-3",C. Ruud,K. Alami,,,NOR,MAR,6-3,6-3,,,,01:21:00,,,265,/en/stats/leaderboard?page=serve,2,1,73,43,59,60,26,43,56,9,16,50,2,4,9,195,/en/stats/leaderboard?page=serve,,2,48,29,61,52,15,29,50,16,32,44,4,9,9,59,35,59,49,30,61,54,65,120,51,31,61,41,24,59,46,55,120,A,,1,,,C. Ruud,K. Alami,R219,A203,NOR,MAR,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS015,R16,00:52:00,,F,2,K293,"6-2,6-1",G. Kuerten,I. Ljubicic,,,BRA,CRO,6-2,6-1,,,,00:52:00,,,241,/en/stats/leaderboard?page=serve,2,0,57,27,47,70,19,27,45,9,20,33,1,3,7,127,/en/stats/leaderboard?page=serve,,2,60,26,43,38,10,26,18,3,17,22,2,9,8,60,28,47,70,30,43,64,58,90,30,13,43,40,19,47,36,32,90,A,,3,,,G. Kuerten,I. Ljubicic,K293,L360,BRA,CRO,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS016,R32,01:13:00,,F,2,C378,"6-2,7-5",A. Costa,O. Camporese,,,ESP,ITA,6-2,7-5,,,,01:13:00,,,266,/en/stats/leaderboard?page=serve,3,4,79,50,63,68,34,50,38,5,13,33,1,3,10,199,/en/stats/leaderboard?page=serve,,2,51,31,61,71,22,31,27,8,30,50,5,10,10,62,39,63,51,31,61,56,70,124,49,30,61,38,24,63,44,54,124,A,,2,,,A. Costa,O. Camporese,C378,C009,ESP,ITA,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS017,R32,01:05:00,,F,2,O127,"6-1,6-4",O. Ogorodov,S. Noszaly,,,UZB,HUN,6-1,6-4,,,,01:05:00,,,279,/en/stats/leaderboard?page=serve,3,5,59,34,58,76,26,34,54,13,24,75,3,4,9,208,/en/stats/leaderboard?page=serve,,3,69,35,51,63,22,35,25,4,16,20,1,5,8,67,39,58,49,25,51,59,64,109,51,26,51,33,19,58,41,45,109,A,,2,,,O. Ogorodov,S. Noszaly,O127,N112,UZB,HUN,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS018,R32,01:37:00,,F,3,K310,"4-6,6-3,6-3",S. Koubek,F. Fetterlein,,,AUT,DEN,4-6,6-3,6-3,,,01:37:00,,,236,/en/stats/leaderboard?page=serve,3,1,70,62,89,63,39,62,41,11,27,64,9,14,14,209,/en/stats/leaderboard?page=serve,,2,59,51,87,67,34,51,39,14,36,36,4,11,14,56,50,89,45,39,87,51,89,176,55,48,87,44,39,89,49,87,176,A,,8,,,S. Koubek,F. Fetterlein,K310,F206,AUT,DEN,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS019,R32,01:05:00,,F,2,D198,"6-4,6-0",S. Dosedel,G. Oresic,,,CZE,CRO,6-4,6-0,,,,01:05:00,,,309,/en/stats/leaderboard?page=serve,1,0,80,37,46,76,28,37,67,6,9,,0,,8,197,/en/stats/leaderboard?page=serve,,2,56,36,64,61,22,36,32,9,28,71,10,14,8,74,34,46,52,33,64,61,67,110,48,31,64,26,12,46,39,43,110,A,,4,,,S. Dosedel,G. Oresic,D198,O128,CZE,CRO,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS020,R32,01:20:00,,F,2,M535,"7-6(7),6-3",F. Mantilla,R. Carretero,,,ESP,ESP,7-6(7),6-3,,,,01:20:00,,,220,/en/stats/leaderboard?page=serve,,3,82,47,57,85,40,47,50,5,10,0,0,,10,274,/en/stats/leaderboard?page=serve,,1,65,41,63,78,32,41,50,11,22,67,4,6,11,79,45,57,32,20,63,54,65,120,68,43,63,21,12,57,46,55,120,A,False,1,7,2,F. Mantilla,R. Carretero,M535,C383,ESP,ESP,,
439,1996,Umag,GP,1996-08-12T00:00:00,1996-08-18T00:00:00,Clay,32,375000,$,MS021,R32,01:13:00,,F,2,Z073,"6-3,6-1",M. Zabaleta,P. Pala,,,ARG,CZE,6-3,6-1,,,,01:13:00,,,270,/en/stats/leaderboard?page=serve,2,0,78,42,54,74,31,42,33,4,12,67,2,3,8,182,/en/stats/leaderboard?page=serve,,1,60,36,60,50,18,36,38,9,24,58,7,12,8,65,35,54,55,33,60,60,68,114,45,27,60,35,19,54,40,46,114,A,,4,,,M. Zabaleta,P. Pala,Z073,P327,ARG,CZE,,
