event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser,player_a_id,player_b_id
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS022,R32,01:35:00,,F,2,Q927,"7-5,6-4",S. Querrey,F. Verdasco,,,USA,ESP,7-5,6-4,,,,01:35:00,A,S. Querrey,F. Verdasco,USA,ESP,,,298,/en/stats/leaderboard?page=serve,3,8,64,48,75,81,39,48,48,13,27,100,8,8,11,271,/en/stats/leaderboard?page=serve,3,7,72,46,64,70,32,46,44,8,18,60,3,5,11,69,52,75,38,24,64,55,76,139,63,40,64,31,23,75,45,63,139,,,,,,,Q927,V306,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS023,R32,01:09:00,,F,2,R419,"6-0,6-4",T. Robredo,D. Young,,,ESP,USA,6-0,6-4,,,,01:09:00,A,T. Robredo,D. Young,ESP,USA,,,287,/en/stats/leaderboard?page=serve,1,2,67,28,42,82,23,28,50,7,14,50,1,2,8,185,/en/stats/leaderboard?page=serve,7,1,63,36,57,53,19,36,38,8,21,55,6,11,8,71,30,42,53,30,57,61,60,99,47,27,57,29,12,42,39,39,99,,,,,,,R419,Y124,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS024,R32,01:08:00,,F,2,R485,"7-5,6-2",A. Roddick,J. Isner,,,USA,USA,7-5,6-2,,,,01:08:00,A,A. Roddick,J. Isner,USA,USA,,,351,/en/stats/leaderboard?page=serve,0,9,68,32,47,81,26,32,93,14,15,0,0,0,10,260,/en/stats/leaderboard?page=serve,2,15,70,38,54,76,29,38,31,5,16,0,0,3,10,85,40,47,37,20,54,59,60,101,63,34,54,15,7,47,41,41,101,,,,,,,R485,I186,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS025,R32,01:02:00,,F,2,G628,"6-1,6-3",R. Gasquet,J. Melzer,,,FRA,AUT,6-1,6-3,,,,01:02:00,A,R. Gasquet,J. Melzer,FRA,AUT,,,312,/en/stats/leaderboard?page=serve,1,7,64,30,47,83,25,30,59,10,17,100,3,3,8,195,/en/stats/leaderboard?page=serve,4,2,54,28,52,64,18,28,29,7,24,20,1,5,8,74,35,47,52,27,52,63,62,99,48,25,52,26,12,47,37,37,99,,,,,,,G628,M762,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS026,R32,01:06:00,,F,2,T840,"6-3,6-3",V. Troicki,M. Llodra,,,SRB,FRA,6-3,6-3,,,,01:06:00,A,V. Troicki,M. Llodra,SRB,FRA,,,313,/en/stats/leaderboard?page=serve,0,5,64,34,53,76,26,34,68,13,19,100,2,2,9,245,/en/stats/leaderboard?page=serve,1,4,63,34,54,68,23,34,45,9,20,67,6,9,9,74,39,53,41,22,54,57,61,107,59,32,54,26,14,53,43,46,107,,,,,,,T840,L428,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS027,R32,00:54:00,,F,2,D643,"6-0,6-1",N. Djokovic,E. Gulbis,,,SRB,LAT,6-0,6-1,,,,00:54:00,A,N. Djokovic,E. Gulbis,SRB,LAT,,,301,/en/stats/leaderboard?page=serve,0,4,57,25,44,72,18,25,68,13,19,100,5,5,7,131,/en/stats/leaderboard?page=serve,5,0,56,20,36,45,9,20,19,3,16,17,1,6,6,70,31,44,67,24,36,69,55,80,33,12,36,30,13,44,31,25,80,,,,,,,D643,G858,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS028,R32,01:15:00,,F,2,BA47,"6-3,6-2",T. Berdych,T. Bellucci,,,CZE,BRA,6-3,6-2,,,,01:15:00,A,T. Berdych,T. Bellucci,CZE,BRA,,,313,/en/stats/leaderboard?page=serve,1,2,58,28,48,89,25,28,65,13,20,100,2,2,9,233,/en/stats/leaderboard?page=serve,2,3,70,35,50,60,21,35,40,6,15,63,5,8,8,79,38,48,46,23,50,62,61,98,54,27,50,21,10,48,38,37,98,,,,,,,BA47,BD20,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS029,R32,01:39:00,,F,2,W367,"7-5,6-3",S. Wawrinka,M. Cilic,,,SUI,CRO,7-5,6-3,,,,01:39:00,A,S. Wawrinka,M. Cilic,SUI,CRO,,,307,/en/stats/leaderboard?page=serve,1,3,66,38,58,74,28,38,75,15,20,50,1,2,11,236,/en/stats/leaderboard?page=serve,0,2,46,31,68,61,19,31,57,21,37,70,7,10,10,74,43,58,41,28,68,56,71,126,59,40,68,26,15,58,44,55,126,,,,,,,W367,C977,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS030,R32,02:29:00,,F,3,H940,"7-6(7),4-6,6-4",R. Harrison,M. Raonic,,,USA,CAN,7-6(7),4-6,6-4,,,02:29:00,A,R. Harrison,M. Raonic,USA,CAN,,,288,/en/stats/leaderboard?page=serve,1,11,60,63,105,76,48,63,55,23,42,80,8,10,16,304,/en/stats/leaderboard?page=serve,0,17,67,66,98,70,46,66,63,20,32,71,5,7,16,68,71,105,33,32,98,51,103,203,67,66,98,32,34,105,49,100,203,,,7,1,,,H940,R975,,
404,2011,ATP Masters 1000 Indian Wells,1000,2011-03-10T00:00:00,2011-03-20T00:00:00,Hard,96,3645000,$,MS031,R32,00:58:00,,F,2,F324,"6-0,6-2",R. Federer,J. Chela,,,SUI,ARG,6-0,6-2,,,,00:58:00,A,R. Federer,J. Chela,SUI,ARG,,,301,/en/stats/leaderboard?page=serve,0,2,60,25,42,80,20,25,59,10,17,100,1,1,7,160,/en/stats/leaderboard?page=serve,6,0,55,27,49,56,15,27,27,6,22,44,4,9,7,71,30,42,57,28,49,64,58,91,43,21,49,29,12,42,36,33,91,,,,,,,F324,C514,,
