event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS045,R64,00:54:00,,F,2,S351,"7-5,6-1",M. Stich,P. Haarhuis,,,GER,NED,7-5,6-1,,,,00:54:00,232,/en/stats/leaderboard?page=serve,2,9,63,31,49,84,26,31,78,14,18,0,0,,10,261,/en/stats/leaderboard?page=serve,1,4,75,38,51,55,21,38,62,8,13,40,2,5,9,82,40,49,43,22,51,62,62,100,57,29,51,18,9,49,38,38,100,A,,,,,,,,,M. Stich,P. Haarhuis,S351,H223,GER,NED,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS046,R64,01:09:00,,F,2,E004,"6-4,6-2",S. Edberg,T. Henman,,,SWE,GBR,6-4,6-2,,,,01:09:00,267,/en/stats/leaderboard?page=serve,4,2,64,36,56,69,25,36,70,14,20,,0,,9,218,/en/stats/leaderboard?page=serve,6,3,43,26,61,69,18,26,43,15,35,50,3,6,9,70,39,56,46,28,61,57,67,117,54,33,61,30,17,56,43,50,117,A,,,,,,,,,S. Edberg,T. Henman,E004,H336,SWE,GBR,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS049,R64,00:52:00,,F,2,R237,"6-3,6-4",G. Rusedski,C. Moya,,,GBR,ESP,6-3,6-4,,,,00:52:00,313,/en/stats/leaderboard?page=serve,2,12,57,27,47,96,26,27,60,12,20,0,0,1,10,235,/en/stats/leaderboard?page=serve,2,0,58,35,60,49,17,35,64,16,25,25,1,4,9,81,38,47,45,27,60,61,65,107,55,33,60,19,9,47,39,42,107,A,,,,,,,,,G. Rusedski,C. Moya,R237,M605,GBR,ESP,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS050,R64,01:05:00,,F,2,K316,"6-3,6-0",N. Kiefer,H. Gumy,,,GER,ARG,6-3,6-0,,,,01:05:00,302,/en/stats/leaderboard?page=serve,1,9,61,28,46,79,22,28,67,12,18,,0,,8,182,/en/stats/leaderboard?page=serve,7,1,52,32,61,63,20,32,31,9,29,75,12,16,7,74,34,46,52,32,61,62,66,107,48,29,61,26,12,46,38,41,107,A,,,,,,,,,N. Kiefer,H. Gumy,K316,G247,GER,ARG,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS053,R64,01:09:00,,F,2,G182,"6-4,6-4",M. Gustafsson,J. Stoltenberg,,,SWE,AUS,6-4,6-4,,,,01:09:00,288,/en/stats/leaderboard?page=serve,2,5,58,32,55,72,23,32,65,15,23,0,0,1,10,255,/en/stats/leaderboard?page=serve,1,5,63,36,57,75,27,36,43,9,21,40,2,5,10,69,38,55,37,21,57,53,59,112,63,36,57,31,17,55,47,53,112,A,,,,,,,,,M. Gustafsson,J. Stoltenberg,G182,S331,SWE,AUS,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS054,R64,00:58:00,,F,2,W035,"6-4,6-1",M. Woodforde,M. Goellner,,,AUS,GER,6-4,6-1,,,,00:58:00,272,/en/stats/leaderboard?page=serve,1,4,52,23,44,78,18,23,52,11,21,50,1,2,8,198,/en/stats/leaderboard?page=serve,7,11,56,32,57,78,25,32,16,4,25,29,2,7,9,66,29,44,49,28,57,56,57,101,51,29,57,34,15,44,44,44,101,A,,,,,,,,,M. Woodforde,M. Goellner,W035,G252,AUS,GER,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS057,R64,02:15:00,,F,3,B053,"6-7(1),7-6(7),6-4",A. Boetsch,A. Radulescu,,,FRA,GER,6-7(1),7-6(7),6-4,,,02:15:00,303,/en/stats/leaderboard?page=serve,3,7,60,58,96,90,52,58,55,21,38,67,2,3,17,281,/en/stats/leaderboard?page=serve,2,15,48,62,128,76,47,62,56,37,66,71,5,7,17,76,73,96,34,44,128,52,117,224,66,84,128,24,23,96,48,107,224,A,,7,3,,1,7,,,A. Boetsch,A. Radulescu,B053,R284,FRA,GER,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS058,R64,01:01:00,,F,2,L226,"7-5,6-0",S. Lareau,S. Bruguera,,,CAN,ESP,7-5,6-0,,,,01:01:00,262,/en/stats/leaderboard?page=serve,2,4,69,40,58,70,28,40,44,8,18,78,7,9,9,172,/en/stats/leaderboard?page=serve,2,3,45,23,51,61,14,23,32,9,28,14,1,7,9,62,36,58,55,28,51,59,64,109,45,23,51,38,22,58,41,45,109,A,,,,,,,,,S. Lareau,S. Bruguera,L226,B350,CAN,ESP,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS061,R64,00:58:00,,F,2,U032,"6-3,6-1",B. Ulihrach,A. Corretja,,,CZE,ESP,6-3,6-1,,,,00:58:00,197,/en/stats/leaderboard?page=serve,5,0,60,29,48,79,23,29,63,12,19,0,0,,8,212,/en/stats/leaderboard?page=serve,1,0,63,32,51,53,17,32,47,9,19,50,4,8,8,73,35,48,49,25,51,61,60,99,51,26,51,27,13,48,39,39,99,A,,,,,,,,,B. Ulihrach,A. Corretja,U032,C344,CZE,ESP,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS062,R64,01:40:00,,F,3,W136,"4-6,6-1,6-4",T. Woodbridge,D. Vacek,,,AUS,CZE,4-6,6-1,6-4,,,01:40:00,266,/en/stats/leaderboard?page=serve,4,6,59,50,85,70,35,50,57,20,35,40,2,5,14,230,/en/stats/leaderboard?page=serve,6,9,51,39,76,69,27,39,46,17,37,29,2,7,13,65,55,85,42,32,76,54,87,161,58,44,76,35,30,85,46,74,161,A,,,,,,,,,T. Woodbridge,D. Vacek,W136,V141,AUS,CZE,,
